"","X","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club.Logo","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Work.Rate","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","Heading.Accuracy","Short.Passing","Volleys","Dribbling","Curve","FK.Accuracy","Long.Passing","Ball.Control","Acceleration","Sprint.Speed","Agility","Reactions","Balance","Shot.Power","Jumping","Stamina","Strength","Long.Shots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","Standing.Tackle","Sliding.Tackle","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","League","Country","Values","Wages","Class","Name.Pos","Speed","photo_path"
"37",37,"A. Bernede",19,"https://cdn.sofifa.com/players/234/795/20_120.png","France","https://cdn.sofifa.org/flags/18.png",64,75,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/light_60.png","€750K","€6K",1625,"Left",1,3,3,"Medium/ Medium","CAM",28,"2019",178,74,"56+2","56+2","56+2","60+2","60+2","60+2","60+2","60+2","62+2","62+2","62+2","61+2","61+2","61+2","61+2","61+2","54+2","57+2","57+2","57+2","54+2","53+2","52+2","52+2","52+2","53+2",51,49,47,73,52,66,59,58,64,72,65,57,68,45,66,62,34,48,56,44,52,40,55,66,59,65,57,58,46,9,15,11,6,15,"Ligue 1","France",750000,6000,"Midfielder","A. Bernede, CAM",63.3333333333333,NA
"38",38,"A. Bertolacci",27,"https://cdn.sofifa.com/players/192/073/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",77,77,"Milan","https://cdn.sofifa.com/teams/47/light_60.png","€9M","€75K",2041,"Left",2,3,4,"Medium/ Medium","CM",16,"2019",178,75,"72+2","72+2","72+2","74+2","74+2","74+2","74+2","74+2","76+2","76+2","76+2","75+2","76+2","76+2","76+2","75+2","73+2","73+2","73+2","73+2","73+2","72+2","70+2","70+2","70+2","72+2",72,62,64,80,69,79,70,64,76,79,69,73,77,74,75,78,65,77,67,76,69,70,76,76,56,72,74,68,68,7,8,7,7,9,"Serie A","Italy",9000000,75000,"Midfielder","A. Bertolacci, CM",73,NA
"39",39,"A. Biyogo Poko",25,"https://cdn.sofifa.com/players/205/998/20_120.png","Gabon","https://cdn.sofifa.org/flags/115.png",72,76,"Göztepe SK","https://cdn.sofifa.com/teams/101026/light_60.png","€3.9M","€17K",1941,"Right",1,3,3,"High/ High","RDM",17,"2021",173,72,"66+2","66+2","66+2","69+2","69+2","69+2","69+2","69+2","70+2","70+2","70+2","71+2","71+2","71+2","71+2","71+2","71+2","73+2","73+2","73+2","71+2","70+2","70+2","70+2","70+2","70+2",58,58,60,70,44,76,41,50,68,74,75,73,72,75,78,69,65,87,69,49,91,73,69,70,53,58,68,74,65,14,14,13,15,11,"Süper Lig","Turkey",3900000,17000,"Midfielder","A. Biyogo Poko, RDM",73.3333333333333,NA
"40",40,"A. Blin",21,"https://cdn.sofifa.com/players/222/982/20_120.png","France","https://cdn.sofifa.org/flags/18.png",72,80,"Amiens SC","https://cdn.sofifa.com/teams/1816/light_60.png","€4M","€13K",1833,"Right",1,3,3,"Medium/ High","CDM",17,"Jun 30, 2019",183,78,"60+2","60+2","60+2","62+2","63+2","63+2","63+2","62+2","64+2","64+2","64+2","64+2","67+2","67+2","67+2","64+2","69+2","71+2","71+2","71+2","69+2","69+2","70+2","70+2","70+2","69+2",62,52,58,71,48,64,65,46,64,66,59,54,61,73,67,60,66,79,71,55,72,72,62,68,52,68,74,74,73,13,6,8,10,8,"Ligue 1","France",4000000,13000,"Midfielder","A. Blin, CDM",58,NA
"41",41,"A. Bobichon",22,"https://cdn.sofifa.com/players/225/855/20_120.png","France","https://cdn.sofifa.org/flags/18.png",68,74,"Nîmes Olympique","https://cdn.sofifa.com/teams/224/light_60.png","€1.2M","€7K",1893,"Right",1,2,3,"High/ Medium","CM",14,"2020",180,70,"66+2","66+2","66+2","68+2","67+2","67+2","67+2","68+2","68+2","68+2","68+2","67+2","66+2","66+2","66+2","67+2","62+2","62+2","62+2","62+2","62+2","61+2","58+2","58+2","58+2","61+2",64,65,55,72,68,71,74,76,65,68,73,75,66,64,69,75,58,66,63,73,62,57,59,68,67,64,54,57,48,15,10,11,12,13,"Ligue 1","France",1200000,7000,"Midfielder","A. Bobichon, CM",71.3333333333333,NA
"42",42,"A. Bodzek",32,"https://cdn.sofifa.com/players/177/129/20_120.png","Poland","https://cdn.sofifa.org/flags/37.png",69,69,"Fortuna Düsseldorf","https://cdn.sofifa.com/teams/110636/light_60.png","€600K","€12K",1780,"Right",1,2,2,"Low/ High","LDM",13,"2019",183,80,"56+2","56+2","56+2","54+2","55+2","55+2","55+2","54+2","57+2","57+2","57+2","56+2","62+2","62+2","62+2","56+2","63+2","68+2","68+2","68+2","63+2","64+2","69+2","69+2","69+2","64+2",49,48,63,66,54,57,61,59,65,59,47,38,54,68,62,66,80,75,78,59,71,71,44,59,55,70,69,74,70,11,15,15,8,10,"Bundesliga","Germany",600000,12000,"Midfielder","A. Bodzek, LDM",46.3333333333333,NA
"43",43,"A. Borgmann",23,"https://cdn.sofifa.com/players/224/661/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",64,67,"VVV-Venlo","https://cdn.sofifa.com/teams/100651/light_60.png","€475K","€2K",1665,"Left",1,3,2,"High/ Medium","LB",21,"2019",178,75,"54+2","54+2","54+2","58+2","56+2","56+2","56+2","58+2","57+2","57+2","57+2","59+2","58+2","58+2","58+2","59+2","63+2","61+2","61+2","61+2","63+2","62+2","61+2","61+2","61+2","62+2",65,31,53,62,35,66,40,43,56,59,68,63,58,62,63,65,63,72,68,55,64,57,54,51,45,55,62,63,63,14,11,10,12,12,"Eredivisie","Netherlands",475000,2000,"Defender","A. Borgmann, LB",63,NA
"44",44,"A. Boruc",38,"https://cdn.sofifa.com/players/105/846/20_120.png","Poland","https://cdn.sofifa.org/flags/37.png",74,74,"Bournemouth","https://cdn.sofifa.com/teams/1943/light_60.png","€375K","€24K",1159,"Right",2,3,1,"Medium/ Medium","GK",1,"2019",193,87,"","","","","","","","","","","","","","","","","","","","","","","","","","",12,11,11,25,13,14,13,19,34,18,37,39,40,69,40,21,73,31,69,15,38,25,17,40,21,63,15,20,20,74,73,62,76,74,"Premier League","UK",375000,24000,"Goal Keeper","A. Boruc, GK",38.6666666666667,"imgs/players/44.png"
"45",45,"A. Bouka Moutou",29,"https://cdn.sofifa.com/players/184/935/20_120.png","Congo","https://cdn.sofifa.org/flags/107.png",70,70,"Dijon FCO","https://cdn.sofifa.com/teams/110569/light_60.png","€1.3M","€8K",1680,"Left",1,2,3,"High/ Medium","LB",3,"2019",175,76,"48+2","48+2","48+2","59+2","55+2","55+2","55+2","59+2","58+2","58+2","58+2","63+2","61+2","61+2","61+2","63+2","69+2","66+2","66+2","66+2","69+2","68+2","66+2","66+2","66+2","68+2",69,18,52,69,17,67,45,53,58,72,72,69,68,67,84,16,65,70,62,22,72,68,58,49,51,69,66,68,73,16,6,16,9,13,"Ligue 1","France",1300000,8000,"Defender","A. Bouka Moutou, LB",69.6666666666667,NA
"46",46,"A. Briançon",23,"https://cdn.sofifa.com/players/223/138/20_120.png","France","https://cdn.sofifa.org/flags/18.png",72,76,"Nîmes Olympique","https://cdn.sofifa.com/teams/224/light_60.png","€3.4M","€11K",1732,"Right",1,2,2,"Medium/ High","RCB",23,"2021",185,79,"56+2","56+2","56+2","53+2","55+2","55+2","55+2","53+2","57+2","57+2","57+2","55+2","62+2","62+2","62+2","55+2","62+2","68+2","68+2","68+2","62+2","64+2","70+2","70+2","70+2","64+2",36,34,71,67,40,45,42,39,61,60,66,53,57,64,64,68,70,76,81,63,76,71,49,65,43,72,70,72,69,15,7,13,13,12,"Ligue 1","France",3400000,11000,"Defender","A. Briançon, RCB",58.6666666666667,NA
"47",47,"A. Briseño",24,"https://cdn.sofifa.com/players/192/114/20_120.png","Mexico","https://cdn.sofifa.org/flags/83.png",72,77,"CD Feirense","https://cdn.sofifa.com/teams/10019/light_60.png","€3.5M","€7K",1715,"Right",1,2,2,"Medium/ Medium","RCB",4,"2019",185,75,"51+2","51+2","51+2","52+2","50+2","50+2","50+2","52+2","51+2","51+2","51+2","53+2","54+2","54+2","54+2","53+2","63+2","64+2","64+2","64+2","63+2","65+2","70+2","70+2","70+2","65+2",47,41,75,59,45,55,46,46,44,61,67,61,63,65,64,45,93,76,74,46,84,71,20,47,54,64,70,70,65,11,16,14,10,10,"Liga Nos","Portugal",3500000,7000,"Defender","A. Briseño, RCB",63.6666666666667,NA
"48",48,"A. Büttner",29,"https://cdn.sofifa.com/players/186/982/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",73,73,"Vitesse","https://cdn.sofifa.com/teams/1909/light_60.png","€3M","€12K",2066,"Left",1,3,3,"High/ Medium","LB",28,"2019",175,75,"69+2","69+2","69+2","71+2","70+2","70+2","70+2","71+2","70+2","70+2","70+2","72+2","70+2","70+2","70+2","72+2","72+2","70+2","70+2","70+2","72+2","71+2","70+2","70+2","70+2","71+2",80,58,65,71,60,73,78,75,72,74,74,77,70,70,74,82,73,71,68,72,79,66,70,69,74,69,67,73,74,8,11,14,14,10,"Eredivisie","Netherlands",3000000,12000,"Defender","A. Büttner, LB",73.6666666666667,NA
"49",49,"A. Büyük",30,"https://cdn.sofifa.com/players/167/753/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",72,72,"Yeni Malatyaspor","https://cdn.sofifa.com/teams/113259/light_60.png","€2.9M","€11K",1830,"Right",1,3,3,"High/ Medium","LM",10,"2019",178,78,"71+2","71+2","71+2","72+2","72+2","72+2","72+2","72+2","71+2","71+2","71+2","71+2","65+2","65+2","65+2","71+2","53+2","51+2","51+2","51+2","53+2","50+2","44+2","44+2","44+2","50+2",62,72,71,70,65,76,63,45,62,76,75,77,82,71,84,71,92,73,48,71,74,37,70,65,59,70,21,19,20,11,7,15,15,11,"Süper Lig","Turkey",2900000,11000,"Midfielder","A. Büyük, LM",78,NA
"50",50,"A. Caci",21,"https://cdn.sofifa.com/players/236/636/20_120.png","France","https://cdn.sofifa.org/flags/18.png",66,76,"RC Strasbourg Alsace","https://cdn.sofifa.com/teams/76/light_60.png","€925K","€4K",1740,"Right",1,4,3,"Medium/ Medium","CDM",19,"2020",183,70,"58+2","58+2","58+2","60+2","60+2","60+2","60+2","60+2","62+2","62+2","62+2","62+2","64+2","64+2","64+2","62+2","62+2","64+2","64+2","64+2","62+2","63+2","63+2","63+2","63+2","63+2",56,49,66,70,47,67,67,48,70,65,60,64,71,60,61,58,73,60,58,34,59,64,53,68,52,57,65,66,62,11,9,12,7,8,"Ligue 1","France",925000,4000,"Midfielder","A. Caci, CDM",65,NA
"51",51,"A. Calabresi",22,"https://cdn.sofifa.com/players/229/574/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",71,79,"Bologna","https://cdn.sofifa.com/teams/189/light_60.png","€3M","€15K",1536,"Right",1,3,2,"Medium/ Medium","CB",33,"2022",185,75,"45+2","45+2","45+2","45+2","44+2","44+2","44+2","45+2","44+2","44+2","44+2","48+2","49+2","49+2","49+2","48+2","62+2","61+2","61+2","61+2","62+2","65+2","69+2","69+2","69+2","65+2",52,22,65,48,31,44,31,34,42,48,54,69,55,67,63,45,68,66,78,29,60,72,32,42,44,64,74,76,74,6,8,12,12,13,"Serie A","Italy",3000000,15000,"Defender","A. Calabresi, CB",59.3333333333333,NA
"52",52,"A. Çalık",24,"https://cdn.sofifa.com/players/223/046/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",72,77,"Galatasaray SK","https://cdn.sofifa.com/teams/325/light_60.png","€3.5M","€28K",1695,"Right",1,4,2,"Low/ High","CB",5,"2021",183,77,"55+2","55+2","55+2","53+2","54+2","54+2","54+2","53+2","54+2","54+2","54+2","57+2","59+2","59+2","59+2","57+2","65+2","67+2","67+2","67+2","65+2","67+2","71+2","71+2","71+2","67+2",40,42,75,62,41,58,44,39,64,62,65,68,52,70,74,55,81,76,72,21,68,74,40,48,44,75,69,73,72,11,8,6,8,13,"Süper Lig","Turkey",3500000,28000,"Defender","A. Çalık, CB",61.6666666666667,NA
"53",53,"A. Çamdalı",34,"https://cdn.sofifa.com/players/183/769/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",72,72,"Çaykur Rizespor","https://cdn.sofifa.com/teams/101037/light_60.png","€950K","€10K",1858,"Right",1,3,2,"Medium/ High","RDM",21,"2019",185,75,"61+2","61+2","61+2","60+2","61+2","61+2","61+2","60+2","63+2","63+2","63+2","61+2","67+2","67+2","67+2","61+2","65+2","71+2","71+2","71+2","65+2","65+2","70+2","70+2","70+2","65+2",60,58,62,70,47,62,64,61,69,67,44,32,67,74,64,70,79,75,74,64,77,73,56,64,61,61,70,74,65,12,14,14,8,7,"Süper Lig","Turkey",950000,10000,"Midfielder","A. Çamdalı, RDM",47.6666666666667,NA
"54",54,"A. Candreva",31,"https://cdn.sofifa.com/players/173/221/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",81,81,"Inter","https://cdn.sofifa.com/teams/44/light_60.png","€15.5M","€74K",2084,"Right",3,4,4,"Medium/ Medium","RM",87,"2021",180,70,"76+3","76+3","76+3","79+3","78+3","78+3","78+3","79+3","78+3","78+3","78+3","79+3","77+3","77+3","77+3","79+3","73+3","71+3","71+3","71+3","73+3","70+3","64+3","64+3","64+3","70+3",83,73,55,78,75,82,74,71,73,83,77,78,74,78,76,87,35,86,69,82,66,67,79,77,83,73,61,63,53,10,4,14,4,14,"Serie A","Italy",15500000,74000,"Midfielder","A. Candreva, RM",76.3333333333333,NA
"55",55,"A. Carroll",29,"https://cdn.sofifa.com/players/182/836/20_120.png","England","https://cdn.sofifa.org/flags/14.png",77,77,"West Ham United","https://cdn.sofifa.com/teams/19/light_60.png","€9M","€80K",1839,"Left",2,3,2,"Medium/ High","ST",9,"2019",193,79,"75+2","75+2","75+2","67+2","70+2","70+2","70+2","67+2","68+2","68+2","68+2","65+2","65+2","65+2","65+2","65+2","53+2","57+2","57+2","57+2","53+2","53+2","59+2","59+2","59+2","53+2",60,77,91,66,74,67,53,42,57,74,43,50,57,77,47,83,83,50,92,76,88,45,78,65,73,76,26,46,43,14,14,12,10,6,"Premier League","UK",9000000,80000,"Forward","A. Carroll, ST",50,NA
"56",56,"A. Ćatić",19,"https://cdn.sofifa.com/players/246/257/20_120.png","Bosnia Herzegovina","https://cdn.sofifa.org/flags/8.png",60,75,"PSV","https://cdn.sofifa.com/teams/247/light_60.png","€450K","€1K",1544,"Right",1,3,3,"Medium/ Medium","RW",44,"2020",178,78,"56+2","56+2","56+2","60+2","58+2","58+2","58+2","60+2","57+2","57+2","57+2","59+2","51+2","51+2","51+2","59+2","46+2","41+2","41+2","41+2","46+2","44+2","37+2","37+2","37+2","44+2",60,57,45,57,59,61,57,50,53,57,88,85,72,38,64,59,53,52,53,52,48,19,56,55,60,52,28,29,30,7,8,7,13,12,"Eredivisie","Netherlands",450000,1000,"Forward","A. Ćatić, RW",81.6666666666667,NA
"57",57,"A. Çelebi",19,"https://cdn.sofifa.com/players/245/369/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",59,73,"Beşiktaş JK","https://cdn.sofifa.com/teams/327/light_60.png","€300K","€2K",1301,"Right",1,2,2,"Low/ Medium","CB",44,"2020",196,78,"39+2","39+2","39+2","35+2","35+2","35+2","35+2","35+2","34+2","34+2","34+2","37+2","37+2","37+2","37+2","37+2","49+2","48+2","48+2","48+2","49+2","53+2","58+2","58+2","58+2","53+2",33,26,60,38,32,28,26,32,33,35,62,58,41,48,43,41,69,55,73,28,49,51,24,29,47,44,56,66,69,13,7,14,9,6,"Süper Lig","Turkey",300000,2000,"Defender","A. Çelebi, CB",53.6666666666667,NA
"58",58,"A. Cerci",30,"https://cdn.sofifa.com/players/178/393/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",74,74,"MKE Ankaragücü","https://cdn.sofifa.com/teams/101007/light_60.png","€5.5M","€21K",1872,"Left",2,3,4,"Medium/ Low","RW",20,"2019",180,78,"71+2","71+2","71+2","74+2","73+2","73+2","73+2","74+2","73+2","73+2","73+2","71+2","66+2","66+2","66+2","71+2","54+2","54+2","54+2","54+2","54+2","51+2","49+2","49+2","49+2","51+2",77,68,59,75,71,77,79,74,67,80,77,77,72,65,77,72,66,32,73,77,60,41,71,68,76,73,35,31,24,9,14,7,12,9,"Süper Lig","Turkey",5500000,21000,"Forward","A. Cerci, RW",75.3333333333333,NA
"59",59,"A. Cerri",22,"https://cdn.sofifa.com/players/213/829/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",72,80,"Cagliari","https://cdn.sofifa.com/teams/1842/light_60.png","€4.6M","€54K",1706,"Right",1,3,3,"Medium/ Medium","ST",9,"Jun 30, 2019",193,91,"71+2","71+2","71+2","64+2","67+2","67+2","67+2","64+2","65+2","65+2","65+2","62+2","58+2","58+2","58+2","62+2","48+2","49+2","49+2","49+2","48+2","47+2","50+2","50+2","50+2","47+2",40,75,75,65,68,68,64,34,45,73,54,69,60,60,66,75,73,68,94,68,42,13,70,57,64,68,51,34,30,6,13,8,10,14,"Serie A","Italy",4600000,54000,"Forward","A. Cerri, ST",61,NA
"60",60,"A. Çeviker",28,"https://cdn.sofifa.com/players/223/378/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",65,66,"Akhisar Belediyespor","https://cdn.sofifa.com/teams/111340/light_60.png","€500K","€4K",1662,"Right",1,3,2,"Medium/ High","RDM",6,"2021",178,70,"54+2","54+2","54+2","56+2","56+2","56+2","56+2","56+2","58+2","58+2","58+2","58+2","61+2","61+2","61+2","58+2","62+2","64+2","64+2","64+2","62+2","62+2","63+2","63+2","63+2","62+2",54,40,56,67,37,60,38,42,61,62,52,56,61,63,67,60,72,74,65,39,59,63,56,58,45,53,69,63,62,12,15,15,13,6,"Süper Lig","Turkey",500000,4000,"Midfielder","A. Çeviker, RDM",56.3333333333333,NA
"61",61,"A. Chahechouhe",31,"https://cdn.sofifa.com/players/187/939/20_120.png","Morocco","https://cdn.sofifa.org/flags/129.png",74,74,"Fenerbahçe SK","https://cdn.sofifa.com/teams/326/light_60.png","€4.9M","€49K",1813,"Right",1,4,4,"Medium/ Medium","LM",92,"2019",175,68,"71+2","71+2","71+2","73+2","73+2","73+2","73+2","73+2","72+2","72+2","72+2","73+2","68+2","68+2","68+2","73+2","56+2","53+2","53+2","53+2","56+2","52+2","44+2","44+2","44+2","52+2",69,71,58,75,74,77,60,51,68,77,77,74,77,72,73,76,58,72,62,70,39,40,72,65,80,72,25,27,24,7,10,8,15,10,"Süper Lig","Turkey",4900000,49000,"Midfielder","A. Chahechouhe, LM",76,NA
"62",62,"A. Chedjou",33,"https://cdn.sofifa.com/players/183/284/20_120.png","Cameroon","https://cdn.sofifa.org/flags/103.png",74,74,"Bursaspor","https://cdn.sofifa.com/teams/742/light_60.png","€2.3M","€20K",1811,"Right",3,3,3,"Medium/ Medium","RCB",21,"May 31, 2019",183,77,"58+3","58+3","58+3","57+3","58+3","58+3","58+3","57+3","60+3","60+3","60+3","58+3","64+3","64+3","64+3","58+3","64+3","69+3","69+3","69+3","64+3","66+3","72+3","72+3","72+3","66+3",39,40,76,70,50,61,51,50,68,62,67,63,62,66,58,60,79,67,76,59,76,72,44,63,57,64,72,74,70,6,14,15,13,11,"Süper Lig","Turkey",2300000,20000,"Defender","A. Chedjou, RCB",64,NA
"63",63,"A. Christensen",22,"https://cdn.sofifa.com/players/213/661/20_120.png","Denmark","https://cdn.sofifa.org/flags/13.png",81,88,"Chelsea","https://cdn.sofifa.com/teams/5/light_60.png","€21.5M","€91K",1717,"Right",2,3,2,"Low/ Medium","LCB",6,"2022",188,81,"55+2","55+2","55+2","59+2","58+2","58+2","58+2","59+2","62+2","62+2","62+2","63+2","68+2","68+2","68+2","63+2","73+2","77+2","77+2","77+2","73+2","75+2","79+2","79+2","79+2","75+2",49,36,80,77,25,68,32,22,72,74,66,70,61,80,61,31,72,69,73,20,73,82,32,62,36,77,80,86,84,10,12,8,6,8,"Premier League","UK",21500000,91000,"Defender","A. Christensen, LCB",65.6666666666667,NA
"64",64,"A. Ciciretti",24,"https://cdn.sofifa.com/players/206/160/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",74,78,"Parma","https://cdn.sofifa.com/teams/50/light_60.png","€7.5M","€44K",1785,"Left",1,4,4,"High/ Medium","RW",10,"Jun 30, 2019",170,62,"66+2","66+2","66+2","73+2","72+2","72+2","72+2","73+2","74+2","74+2","74+2","72+2","68+2","68+2","68+2","72+2","56+2","54+2","54+2","54+2","56+2","52+2","41+2","41+2","41+2","52+2",67,67,43,80,65,75,75,67,73,75,79,79,90,66,80,68,37,62,42,74,44,32,68,75,60,82,46,26,24,13,6,9,12,6,"Serie A","Italy",7500000,44000,"Forward","A. Ciciretti, RW",82.6666666666667,NA
"65",65,"A. Ciranni",22,"https://cdn.sofifa.com/players/224/191/20_120.png","Belgium","https://cdn.sofifa.org/flags/7.png",65,72,"Fortuna Sittard","https://cdn.sofifa.com/teams/634/light_60.png","€650K","€2K",1717,"Right",1,3,3,"High/ Medium","RB",17,"2021",175,70,"54+2","54+2","54+2","62+2","59+2","59+2","59+2","62+2","60+2","60+2","60+2","63+2","61+2","61+2","61+2","63+2","64+2","61+2","61+2","61+2","64+2","63+2","57+2","57+2","57+2","63+2",69,49,39,64,49,66,78,73,63,67,71,73,58,60,65,44,48,62,41,65,52,62,51,52,54,59,66,65,62,8,11,10,7,13,"Eredivisie","Netherlands",650000,2000,"Defender","A. Ciranni, RB",67.3333333333333,NA
"66",66,"A. Ciss",18,"https://cdn.sofifa.com/players/245/016/20_120.png","Senegal","https://cdn.sofifa.org/flags/136.png",61,75,"Fortuna Sittard","https://cdn.sofifa.com/teams/634/light_60.png","€525K","€1K",1659,"Right",1,3,3,"Medium/ Medium","CM",20,"2022",180,70,"57+2","57+2","57+2","59+2","59+2","59+2","59+2","59+2","60+2","60+2","60+2","61+2","60+2","60+2","60+2","61+2","59+2","58+2","58+2","58+2","59+2","59+2","56+2","56+2","56+2","59+2",51,43,52,66,46,59,42,45,64,66,75,75,73,58,68,66,58,66,55,48,63,48,59,52,46,49,46,61,59,5,11,15,7,11,"Eredivisie","Netherlands",525000,1000,"Midfielder","A. Ciss, CM",74.3333333333333,NA
"67",67,"A. Cissokho",30,"https://cdn.sofifa.com/players/181/455/20_120.png","France","https://cdn.sofifa.org/flags/18.png",70,70,"Antalyaspor","https://cdn.sofifa.com/teams/741/light_60.png","€1.3M","€9K",1868,"Left",2,2,2,"High/ Medium","LB",26,"2020",180,79,"63+2","63+2","63+2","62+2","61+2","61+2","61+2","62+2","61+2","61+2","61+2","63+2","62+2","62+2","62+2","63+2","68+2","67+2","67+2","67+2","68+2","69+2","70+2","70+2","70+2","69+2",65,56,67,64,54,62,70,36,65,65,73,72,60,57,68,76,73,75,74,55,77,66,56,56,48,64,70,75,76,15,12,11,12,7,"Süper Lig","Turkey",1300000,9000,"Defender","A. Cissokho, LB",68.3333333333333,NA
"68",68,"A. Connolly",18,"https://cdn.sofifa.com/players/237/286/20_120.png","Republic of Ireland","https://cdn.sofifa.org/flags/25.png",62,81,"Brighton & Hove Albion","https://cdn.sofifa.com/teams/1808/light_60.png","€625K","€4K",1420,"Right",1,3,2,"Medium/ Low","ST",44,"2019",178,77,"60+2","60+2","60+2","56+2","58+2","58+2","58+2","56+2","55+2","55+2","55+2","53+2","47+2","47+2","47+2","53+2","38+2","35+2","35+2","35+2","38+2","37+2","34+2","34+2","34+2","37+2",33,66,59,45,57,55,32,31,29,61,62,69,62,65,68,58,72,52,57,52,50,16,63,47,57,49,12,18,15,12,8,12,13,12,"Premier League","UK",625000,4000,"Forward","A. Connolly, ST",64.3333333333333,NA
"69",69,"A. Consigli",31,"https://cdn.sofifa.com/players/163/489/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",82,82,"Sassuolo","https://cdn.sofifa.com/teams/111974/light_60.png","€13.5M","€52K",1180,"Right",2,3,1,"Medium/ Medium","GK",47,"2022",188,82,"","","","","","","","","","","","","","","","","","","","","","","","","","",10,10,10,31,19,10,15,15,27,23,48,34,57,75,40,24,80,31,51,19,11,15,10,46,21,63,10,17,19,82,83,72,82,83,"Serie A","Italy",13500000,52000,"Goal Keeper","A. Consigli, GK",46.3333333333333,NA
"70",70,"A. Conti",24,"https://cdn.sofifa.com/players/223/329/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",75,79,"Milan","https://cdn.sofifa.com/teams/47/light_60.png","€8.5M","€58K",1965,"Right",2,2,3,"High/ High","RM",12,"2022",183,76,"68+2","68+2","68+2","72+2","70+2","70+2","70+2","72+2","70+2","70+2","70+2","73+2","72+2","72+2","72+2","73+2","76+2","73+2","73+2","73+2","76+2","75+2","71+2","71+2","71+2","75+2",76,58,64,76,59,74,67,42,69,76,75,82,79,76,68,68,53,87,59,49,73,73,73,63,48,72,76,74,74,9,13,13,9,10,"Serie A","Italy",8500000,58000,"Midfielder","A. Conti, RM",78.6666666666667,NA
"71",71,"A. Ćorić",21,"https://cdn.sofifa.com/players/229/594/20_120.png","Croatia","https://cdn.sofifa.org/flags/10.png",76,88,"Roma","https://cdn.sofifa.com/teams/52/light_60.png","€14M","€38K",1795,"Right",1,4,4,"Medium/ Low","CAM",19,"2023",175,59,"66+2","66+2","66+2","74+2","72+2","72+2","72+2","74+2","74+2","74+2","74+2","74+2","69+2","69+2","69+2","74+2","57+2","54+2","54+2","54+2","57+2","52+2","41+2","41+2","41+2","52+2",73,64,34,74,56,80,67,71,66,81,78,66,82,71,84,68,55,73,49,71,41,27,70,77,58,78,44,31,24,15,10,14,14,7,"Serie A","Italy",14000000,38000,"Midfielder","A. Ćorić, CAM",75.3333333333333,NA
